 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                       flo          dep_wt            stor          rchrg           seep          revap         no3_st           minp           orgn           orgp         rchrgn          nloss          no3gw        seepno3        flo_cha        flo_res         flo_ls
                                                                       mm              m              mm             mm             mm             mm        kg/ha_N            kg        kg/ha_N        kg/ha_P        kg/ha_N        kg/ha_N        kg/ha_N             kg            m^3            m^3            m^3
   365    12    31  2001         1     1  LLYFNI2                  76.331         22.063       2778.572        122.327         18.250         10.995          2.997          0.000          0.000          0.000          3.025          0.000          0.747          0.156         76.331          0.000         76.331
   365    12    31  2002         1     1  LLYFNI2                  91.078         21.439       2797.600        140.010         18.250         10.768          5.105          0.000          0.000          0.000          3.670          0.000          1.516          0.265         91.078          0.000         91.078
   365    12    31  2003         1     1  LLYFNI2                  81.042         20.847       2815.012        127.822         18.250         11.714          6.550          0.000          0.000          0.000          3.303          0.000          1.730          0.341         81.042          0.000         81.042
   366    12    31  2004         1     1  LLYFNI2                  91.814         20.230       2833.657        140.428         18.300         10.951          7.681          0.000          0.000          0.000          3.586          0.000          2.264          0.400         91.814          0.000         91.814
   365    12    31  2005         1     1  LLYFNI2                  85.151         19.614       2852.256        131.693         18.250         10.979          8.337          0.000          0.000          0.000          3.218          0.000          2.259          0.433         85.151          0.000         85.151
   365    12    31  2006         1     1  LLYFNI2                  85.872         19.010       2870.269        134.989         18.250         11.554          8.769          0.000          0.000          0.000          3.169          0.000          2.363          0.455         85.872          0.000         85.872
   365    12    31  2007         1     1  LLYFNI2                  92.007         18.397       2888.743        141.027         18.250         11.808          8.986          0.000          0.000          0.000          3.089          0.000          2.572          0.466         92.007          0.000         92.007
   366    12    31  2008         1     1  LLYFNI2                 105.803         17.777       2907.522        153.969         18.300         11.431          8.958          0.000          0.000          0.000          3.230          0.000          2.897          0.466        105.803          0.000        105.803
   365    12    31  2009         1     1  LLYFNI2                  91.183         17.175       2925.444        138.808         18.250         11.585          8.860          0.000          0.000          0.000          2.951          0.000          2.474          0.460         91.183          0.000         91.183
   365    12    31  2010         1     1  LLYFNI2                  80.940         16.573       2943.359        127.823         18.250         11.765          8.902          0.000          0.000          0.000          2.690          0.000          2.207          0.462         80.940          0.000         80.940
