 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
   365    12    31  2001       1       1  LLYFNI2                6.285       0.990       0.067       2.456       0.000       0.018       0.000       0.006       0.000
   365    12    31  2002       1       1  LLYFNI2               10.606       1.556       0.119       1.957       0.000       0.025       0.000       0.008       0.000
   365    12    31  2003       1       1  LLYFNI2                9.440       1.149       0.089       2.916       0.000       0.031       0.000       0.006       0.000
   366    12    31  2004       1       1  LLYFNI2               16.151       2.512       0.207       2.538       0.000       0.025       0.000       0.010       0.000
   365    12    31  2005       1       1  LLYFNI2               14.903       1.946       0.172       2.701       0.000       0.016       0.000       0.008       0.000
   365    12    31  2006       1       1  LLYFNI2               13.007       1.542       0.143       2.321       0.000       0.057       0.000       0.007       0.000
   365    12    31  2007       1       1  LLYFNI2                9.302       1.195       0.114       2.082       0.000       0.032       0.000       0.005       0.000
   366    12    31  2008       1       1  LLYFNI2               21.193       2.618       0.262       2.006       0.000       0.038       0.000       0.009       0.000
   365    12    31  2009       1       1  LLYFNI2               12.614       1.643       0.183       2.397       0.000       0.054       0.000       0.006       0.000
   365    12    31  2010       1       1  LLYFNI2               11.862       1.338       0.113       2.463       0.000       0.025       0.000       0.005       0.000
