 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001       1       1  LLYFNI2                0.000       0.000       5.577       2.383       0.000       0.000       0.000      48.573     345.806       4.647      26.989      28.353      18.552       0.000       0.000
   365    12    31  2002       1       1  LLYFNI2                0.000       0.000       6.130       3.695       0.000       0.000       0.000      56.492     341.030       3.383      26.481      33.307      14.251       0.000       0.000
   365    12    31  2003       1       1  LLYFNI2                0.000       0.000       7.488       4.996       0.000       0.000       0.000      52.490     322.857       2.180      24.942      55.076      15.580       0.000       0.000
   366    12    31  2004       1       1  LLYFNI2                0.000       0.000       8.456       6.069       0.000       0.000       0.000      55.639     317.153       1.056      24.386      82.290      17.543       0.000       0.000
   365    12    31  2005       1       1  LLYFNI2                0.000       0.000       8.801       6.772       0.000       0.000       0.000      49.898     303.089      -0.018      23.208      99.206      18.684       0.000       0.000
   365    12    31  2006       1       1  LLYFNI2                0.000       0.000       9.159       7.320       0.000       0.000       0.000      50.023     289.861      -1.013      22.113     125.417      21.880       0.000       0.000
   365    12    31  2007       1       1  LLYFNI2                0.000       0.000       9.934       7.842       0.000       0.000       0.000      47.077     284.636      -1.952      21.672     147.761      24.719       0.000       0.000
   366    12    31  2008       1       1  LLYFNI2                0.000       0.000      10.677       8.426       0.000       0.000       0.000      49.838     277.431      -2.851      21.101     170.075      28.973       0.000       0.000
   365    12    31  2009       1       1  LLYFNI2                0.000       0.000      11.542       8.994       0.000       0.000       0.000      45.043     266.659      -3.680      20.290     186.192      31.821       0.000       0.000
   365    12    31  2010       1       1  LLYFNI2                0.000       0.000      11.838       9.610       0.000       0.000       0.000      41.533     251.244      -4.423      19.133     191.918      34.233       0.000       0.000
