 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
   365    12    31  2001       1       1  LLYFNI2                1.750   24933.441       0.000    2152.216       8.269       0.079     110.727     258.478      59.003       0.359       0.187      30.253       0.000      11.516       5.779       8.648       9.499       0.000       0.000       0.419
   365    12    31  2002       1       1  LLYFNI2                1.589   26288.355       0.000     670.561       8.559       0.000     141.544     283.803      55.202       2.181       0.208      36.699       0.000      11.791       6.450       9.120       8.897       0.000       0.000       0.469
   365    12    31  2003       1       1  LLYFNI2                1.707   27875.701       0.000     573.881       8.608       0.000     119.869     214.673      42.576       0.887       0.165      33.030       0.000      12.248       6.018       9.133       9.796       0.000       0.000       0.464
   366    12    31  2004       1       1  LLYFNI2                1.643   29544.555       0.000     664.682       8.646       0.000     134.894     250.905      44.210       1.694       0.165      35.860       0.000      11.878       6.507       9.193       9.273       0.000       0.000       0.461
   365    12    31  2005       1       1  LLYFNI2                1.662   31652.027       0.000     620.874       8.691       0.000     125.337     248.327      38.495       2.004       0.149      32.182       0.000      11.843       6.514       9.178       9.092       0.000       0.000       0.466
   365    12    31  2006       1       1  LLYFNI2                1.715   34208.367       0.000     716.539       8.744       0.191     123.340     217.914      37.208       2.236       0.135      31.692       0.000      12.217       6.539       9.378       9.492       0.000       0.000       0.448
   365    12    31  2007       1       1  LLYFNI2                1.629   35664.703       0.000     806.989       8.701       0.000     138.964     276.095      40.111       3.141       0.147      30.889       0.000      12.491       6.169       9.330       9.503       0.000       0.000       0.486
   366    12    31  2008       1       1  LLYFNI2                1.699   36325.664       0.000     748.254       8.339       0.000     155.300     280.037      37.784       1.528       0.129      32.299       0.000      11.841       5.697       8.769       8.874       0.000       0.000       0.459
   365    12    31  2009       1       1  LLYFNI2                1.724   37307.453       0.000     800.576       8.428       0.000     132.461     247.116      33.218       0.773       0.113      29.510       0.000      11.801       5.814       8.807       9.557       0.000       0.000       0.442
   365    12    31  2010       1       1  LLYFNI2                1.779   37908.309       0.000    1054.828       7.685       0.162     127.308     261.104      32.400       0.792       0.118      26.901       0.000      10.963       4.370       7.667      10.416       0.000       0.000       0.395
