 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr     unit   gis_id   name                  area         precip           evap           seep          flo_stor       sed_stor      orgn_stor      sedp_stor       no3_stor      solp_stor      chla_stor       nh3_stor       no2_stor      cbod_stor       dox_stor       san_stor       sil_stor       cla_stor       sag_stor       lag_stor       grv_stor           null         flo_in         sed_in        orgn_in        sedp_in         no3_in        solp_in        chla_in         nh3_in         no2_in        cbod_in         dox_in         san_in         sil_in         cla_in         sag_in         lag_in         grv_in           null        flo_out        sed_out       orgn_out       sedp_out        no3_out       solp_out       chla_out        nh3_out        no2_out       cbod_out        dox_out        san_out        sil_out        cla_out        sag_out        lag_out        grv_out           null
                                                                      ha           ha-m           ha-m           ha-m           m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons                         m^3/s          mtons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons               
   365    12    31  2001         1     1  LLYFNI2                 71.0942     0.1147E+03     0.4341E+07     0.2927E+07     0.2923E+05     0.5929E-01     0.1885E+00     0.1271E-01     0.2751E+00     0.9138E-02     0.1122E+00     0.0000E+00     0.0000E+00     0.7296E+05     0.9179E+02     0.1857E-01     0.9242E-02     0.4712E-02     0.4664E-01     0.1964E-01     0.0000E+00     0.0000E+00     0.1742E+05     0.4035E+06     0.6182E+05     0.4740E+04     0.1741E+06     0.1342E+04     0.3216E+05     0.0000E+00     0.0000E+00     0.1513E+11     0.1992E+07     0.1273E+06     0.3003E+05     0.2447E+05     0.2446E+06     0.1133E+06     0.0000E+00     0.0000E+00     0.1742E+05     0.4036E+06     0.6184E+05     0.4741E+04     0.1741E+06     0.1343E+04     0.3216E+05     0.0000E+00     0.0000E+00     0.1513E+11     0.1992E+07     0.1274E+06     0.3003E+05     0.2447E+05     0.2447E+06     0.1133E+06     0.0000E+00     0.0000E+00
   365    12    31  2002         1     1  LLYFNI2                 87.2511     0.1805E+03     0.5001E+06     0.7161E+06     0.7246E+05     0.2036E+02     0.2077E+01     0.1601E+00     0.1393E+01     0.5866E-01     0.2240E+01     0.0000E+00     0.0000E+00     0.1849E+07     0.1157E-14     0.4408E+01     0.9276E+00     0.9941E+00     0.9941E+01     0.4338E+01     0.0000E+00     0.0000E+00     0.2326E+05     0.6400E+06     0.9855E+05     0.7962E+04     0.1388E+06     0.1526E+04     0.6379E+05     0.0000E+00     0.0000E+00     0.3884E+11     0.2017E+07     0.1966E+06     0.3978E+05     0.3463E+05     0.3463E+06     0.1660E+06     0.0000E+00     0.0000E+00     0.2326E+05     0.6400E+06     0.9854E+05     0.7961E+04     0.1388E+06     0.1526E+04     0.6379E+05     0.0000E+00     0.0000E+00     0.3884E+11     0.2017E+07     0.1966E+06     0.3978E+05     0.3463E+05     0.3463E+06     0.1660E+06     0.0000E+00     0.0000E+00
   365    12    31  2003         1     1  LLYFNI2                100.7911     0.1836E+03     0.4805E+07     0.2996E+07     0.4969E+05     0.2092E+02     0.2302E+01     0.2757E+00     0.1273E+01     0.2154E+00     0.2232E+01     0.0000E+00     0.0000E+00     0.1437E+07     0.1115E+02     0.3999E+01     0.1508E+01     0.1017E+01     0.1017E+02     0.4262E+01     0.0000E+00     0.0000E+00     0.1917E+05     0.5597E+06     0.7094E+05     0.5843E+04     0.2211E+06     0.1818E+04     0.5531E+05     0.0000E+00     0.0000E+00     0.3214E+11     0.2260E+07     0.1725E+06     0.3499E+05     0.2967E+05     0.2967E+06     0.1436E+06     0.0000E+00     0.0000E+00     0.1917E+05     0.5597E+06     0.7094E+05     0.5843E+04     0.2211E+06     0.1818E+04     0.5531E+05     0.0000E+00     0.0000E+00     0.3214E+11     0.2260E+07     0.1725E+06     0.3499E+05     0.2967E+05     0.2967E+06     0.1436E+06     0.0000E+00     0.0000E+00
   366    12    31  2004         1     1  LLYFNI2                113.0532     0.2440E+03     0.3125E+07     0.1344E+07     0.5615E+05     0.3284E+00     0.5171E+00     0.3508E-01     0.4976E+00     0.2577E-01     0.1968E+00     0.0000E+00     0.0000E+00     0.1649E+06     0.7737E+02     0.1452E+00     0.5135E-01     0.3299E-01     0.3296E+00     0.1435E+00     0.0000E+00     0.0000E+00     0.2472E+05     0.8527E+06     0.1557E+06     0.1287E+05     0.1915E+06     0.1534E+04     0.6091E+05     0.0000E+00     0.0000E+00     0.3988E+11     0.1891E+07     0.3215E+06     0.4953E+05     0.4038E+05     0.4038E+06     0.2255E+06     0.0000E+00     0.0000E+00     0.2472E+05     0.8527E+06     0.1557E+06     0.1287E+05     0.1915E+06     0.1534E+04     0.6092E+05     0.0000E+00     0.0000E+00     0.3988E+11     0.1891E+07     0.3215E+06     0.4953E+05     0.4038E+05     0.4038E+06     0.2255E+06     0.0000E+00     0.0000E+00
   365    12    31  2005         1     1  LLYFNI2                124.0136     0.2403E+03     0.7660E+07     0.1675E+07     0.3337E+05     0.2314E+01     0.8301E+00     0.7145E-01     0.1709E+01     0.6664E-01     0.3259E+01     0.0000E+00     0.0000E+00     0.2529E+07     0.8792E+00     0.4124E+01     0.1038E+01     0.1008E+01     0.1008E+02     0.4278E+01     0.0000E+00     0.0000E+00     0.2185E+05     0.8011E+06     0.1249E+06     0.1070E+05     0.1995E+06     0.1044E+04     0.5646E+05     0.0000E+00     0.0000E+00     0.3642E+11     0.2070E+07     0.2911E+06     0.4582E+05     0.3666E+05     0.3666E+06     0.2045E+06     0.0000E+00     0.0000E+00     0.2185E+05     0.8011E+06     0.1249E+06     0.1070E+05     0.1995E+06     0.1044E+04     0.5646E+05     0.0000E+00     0.0000E+00     0.3642E+11     0.2070E+07     0.2911E+06     0.4582E+05     0.3666E+05     0.3666E+06     0.2044E+06     0.0000E+00     0.0000E+00
   365    12    31  2006         1     1  LLYFNI2                133.8109     0.2898E+03     0.4114E+08     0.1228E+08     0.7101E+05     0.1194E+02     0.1512E+01     0.1181E+00     0.2134E+01     0.9792E-01     0.1302E+01     0.0000E+00     0.0000E+00     0.1198E+07     0.5497E-04     0.2880E+01     0.5871E+00     0.6131E+00     0.6131E+01     0.2731E+01     0.0000E+00     0.0000E+00     0.2342E+05     0.7355E+06     0.1023E+06     0.9028E+04     0.1735E+06     0.3335E+04     0.4933E+05     0.0000E+00     0.0000E+00     0.3594E+11     0.2010E+07     0.2477E+06     0.4414E+05     0.3761E+05     0.3761E+06     0.1921E+06     0.0000E+00     0.0000E+00     0.2342E+05     0.7355E+06     0.1023E+06     0.9027E+04     0.1735E+06     0.3335E+04     0.4933E+05     0.0000E+00     0.0000E+00     0.3594E+11     0.2010E+07     0.2477E+06     0.4414E+05     0.3761E+05     0.3761E+06     0.1921E+06     0.0000E+00     0.0000E+00
   365    12    31  2007         1     1  LLYFNI2                143.6302     0.2877E+03     0.4112E+07     0.1452E+07     0.5853E+05     0.4686E+01     0.9068E+00     0.7769E-01     0.1415E+01     0.5956E-01     0.1186E+01     0.0000E+00     0.0000E+00     0.1121E+07     0.7030E+00     0.1089E+01     0.4295E+00     0.2367E+00     0.2367E+01     0.1047E+01     0.0000E+00     0.0000E+00     0.2274E+05     0.5512E+06     0.7804E+05     0.7031E+04     0.1499E+06     0.1914E+04     0.5079E+05     0.0000E+00     0.0000E+00     0.3825E+11     0.2006E+07     0.1867E+06     0.3710E+05     0.3207E+05     0.3207E+06     0.1553E+06     0.0000E+00     0.0000E+00     0.2274E+05     0.5512E+06     0.7804E+05     0.7031E+04     0.1499E+06     0.1914E+04     0.5079E+05     0.0000E+00     0.0000E+00     0.3825E+11     0.2006E+07     0.1867E+06     0.3710E+05     0.3207E+05     0.3207E+06     0.1553E+06     0.0000E+00     0.0000E+00
   366    12    31  2008         1     1  LLYFNI2                152.7227     0.3697E+03     0.1456E+08     0.3182E+07     0.1742E+05     0.2074E-04     0.1126E-01     0.7085E-03     0.6210E-01     0.2901E-02     0.6280E-13     0.0000E+00     0.0000E+00     0.6020E-07     0.1064E+03     0.5250E-03     0.7076E-03     0.1822E-03     0.1233E-02     0.5548E-03     0.0000E+00     0.0000E+00     0.2884E+05     0.1104E+07     0.1762E+06     0.1573E+05     0.1513E+06     0.2244E+04     0.5137E+05     0.0000E+00     0.0000E+00     0.4367E+11     0.1700E+07     0.4114E+06     0.5941E+05     0.4920E+05     0.4919E+06     0.2815E+06     0.0000E+00     0.0000E+00     0.2884E+05     0.1104E+07     0.1762E+06     0.1573E+05     0.1513E+06     0.2244E+04     0.5137E+05     0.0000E+00     0.0000E+00     0.4367E+11     0.1700E+07     0.4114E+06     0.5941E+05     0.4920E+05     0.4919E+06     0.2815E+06     0.0000E+00     0.0000E+00
   365    12    31  2009         1     1  LLYFNI2                161.1441     0.3419E+03     0.1170E+07     0.1186E+07     0.3215E+05     0.4211E-01     0.1771E+00     0.1149E-01     0.6113E+00     0.1046E-01     0.2175E+00     0.0000E+00     0.0000E+00     0.2061E+06     0.8900E+02     0.6218E-01     0.3042E-01     0.1563E-01     0.1558E+00     0.6562E-01     0.0000E+00     0.0000E+00     0.2330E+05     0.7247E+06     0.1115E+06     0.1076E+05     0.1775E+06     0.3033E+04     0.5438E+05     0.0000E+00     0.0000E+00     0.4081E+11     0.1845E+07     0.2363E+06     0.4326E+05     0.3685E+05     0.3684E+06     0.1860E+06     0.0000E+00     0.0000E+00     0.2330E+05     0.7247E+06     0.1115E+06     0.1076E+05     0.1775E+06     0.3033E+04     0.5438E+05     0.0000E+00     0.0000E+00     0.4081E+11     0.1845E+07     0.2363E+06     0.4326E+05     0.3685E+05     0.3684E+06     0.1860E+06     0.0000E+00     0.0000E+00
