 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                    flo_in          aqu_in         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm 
   365    12    31  2001         1     1  LLYFNI2               0.1742E+05     0.0000E+00     0.1742E+05     0.5573E+06     0.4035E+06     0.8081E+07     0.2018E+06     0.0000E+00     0.1398E+06     0.1145E+07     0.6041E+07     0.6938E+06     0.5020E+06     0.2190E+06     0.4927E+04     0.1868E+05     0.1767E+05     0.1506E+05     0.2921E+06     0.0000E+00     0.2921E+06
   365    12    31  2002         1     1  LLYFNI2               0.2326E+05     0.0000E+00     0.2326E+05     0.7444E+06     0.6400E+06     0.1060E+08     0.3200E+06     0.0000E+00     0.2340E+06     0.1424E+07     0.8205E+07     0.6490E+06     0.5969E+06     0.2862E+06     0.4680E+04     0.1844E+05     0.1784E+05     0.1179E+05     0.3946E+06     0.0000E+00     0.3946E+06
   365    12    31  2003         1     1  LLYFNI2               0.1917E+05     0.0000E+00     0.1917E+05     0.6135E+06     0.5597E+06     0.9801E+07     0.2799E+06     0.0000E+00     0.2191E+06     0.1268E+07     0.7816E+07     0.4377E+06     0.6763E+06     0.3426E+06     0.4484E+04     0.1352E+05     0.1381E+05     0.5838E+04     0.3258E+06     0.0000E+00     0.3258E+06
   366    12    31  2004         1     1  LLYFNI2               0.2472E+05     0.0000E+00     0.2472E+05     0.7911E+06     0.8527E+06     0.1186E+08     0.4264E+06     0.0000E+00     0.3406E+06     0.1496E+07     0.9581E+07     0.3545E+06     0.7498E+06     0.3940E+06     0.4326E+04     0.1406E+05     0.1445E+05     0.4865E+04     0.4210E+06     0.0000E+00     0.4210E+06
   365    12    31  2005         1     1  LLYFNI2               0.2185E+05     0.0000E+00     0.2185E+05     0.6991E+06     0.8011E+06     0.1106E+08     0.4006E+06     0.0000E+00     0.3292E+06     0.1357E+07     0.9058E+07     0.2463E+06     0.8114E+06     0.4382E+06     0.4169E+04     0.1124E+05     0.1205E+05     0.2794E+04     0.3683E+06     0.0000E+00     0.3683E+06
   365    12    31  2006         1     1  LLYFNI2               0.2342E+05     0.0000E+00     0.2342E+05     0.7496E+06     0.7355E+06     0.1164E+08     0.3677E+06     0.0000E+00     0.3009E+06     0.1419E+07     0.9679E+07     0.1790E+06     0.8682E+06     0.4782E+06     0.4045E+04     0.1079E+05     0.1174E+05     0.2332E+04     0.3977E+06     0.0000E+00     0.3977E+06
   365    12    31  2007         1     1  LLYFNI2               0.2274E+05     0.0000E+00     0.2274E+05     0.7277E+06     0.5512E+06     0.1178E+08     0.2756E+06     0.0000E+00     0.2259E+06     0.1435E+07     0.1003E+08     0.3808E+05     0.9249E+06     0.5174E+06     0.3926E+04     0.9914E+04     0.1114E+05     0.1176E+04     0.3849E+06     0.0000E+00     0.3849E+06
   366    12    31  2008         1     1  LLYFNI2               0.2884E+05     0.0000E+00     0.2884E+05     0.9230E+06     0.1104E+07     0.1397E+08     0.5522E+06     0.0000E+00     0.4652E+06     0.1653E+07     0.1171E+08     0.5289E+05     0.9801E+06     0.5555E+06     0.3831E+04     0.1076E+05     0.1203E+05     0.1195E+04     0.4891E+06     0.0000E+00     0.4891E+06
   365    12    31  2009         1     1  LLYFNI2               0.2330E+05     0.0000E+00     0.2330E+05     0.7457E+06     0.7247E+06     0.1196E+08     0.3623E+06     0.0000E+00     0.3052E+06     0.1394E+07     0.1016E+08     0.4252E+05     0.1026E+07     0.5874E+06     0.3726E+04     0.8331E+04     0.9761E+04     0.7386E+03     0.3930E+06     0.0000E+00     0.3930E+06
   365    12    31  2010         1     1  LLYFNI2               0.1804E+05     0.0000E+00     0.1804E+05     0.5774E+06     0.6503E+06     0.1026E+08     0.3252E+06     0.0000E+00     0.2820E+06     0.1171E+07     0.8738E+07     0.2693E+05     0.1067E+07     0.6156E+06     0.3649E+04     0.6469E+04     0.7994E+04     0.3851E+03     0.3046E+06     0.0000E+00     0.3046E+06
