 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
   365    12    31  2001       1       1  LLYFNI2             1618.714      31.599      42.504     191.443     915.558    1107.001     104.078     445.691       0.000     220.982     127.422     189.888      59.660     262.136     240.365     214.819      42.606      11.909       0.000       0.115     553.933       0.000       0.000       0.000       0.000       0.000     189.888       0.000       0.000     915.558       0.000       0.000
   365    12    31  2002       1       1  LLYFNI2             2068.508       6.320       7.123     335.234    1179.040    1514.274     121.761     384.735       0.000     170.724     131.061     336.262      63.372     240.365     279.488     232.694      47.086       0.000       0.000       0.013     527.091       0.000       0.000       0.000       0.000       0.000     336.262       0.000       0.000    1179.040       0.000       0.000
   365    12    31  2003       1       1  LLYFNI2             1803.354      39.442      20.353     236.930     999.958    1236.889     109.573     461.307       0.000     238.731     137.582     236.657      61.072     279.488     261.534     220.072      42.855       0.000       0.000       0.090     592.132       0.000       0.000       0.000       0.000       0.000     236.657       0.000       0.000     999.958       0.000       0.000
   366    12    31  2004       1       1  LLYFNI2             2136.160      28.599      47.059     388.965    1228.822    1617.787     122.130     404.787       0.000     186.240     124.838     388.726      62.972     261.534     269.374     230.611      46.399       0.000       0.000       0.136     536.020       0.000       0.000       0.000       0.000       0.000     388.726       0.000       0.000    1228.822       0.000       0.000
   365    12    31  2005       1       1  LLYFNI2             1909.633      29.625      29.545     319.450    1091.103    1410.553     113.445     417.760       0.000     209.726     124.824     319.225      61.662     269.374     243.736     224.978      45.199       0.000       0.000       0.063     557.133       0.000       0.000       0.000       0.000       0.000     319.225       0.000       0.000    1091.103       0.000       0.000
   365    12    31  2006       1       1  LLYFNI2             2128.617      21.404      21.107     355.741    1171.431    1527.172     116.740     442.591       0.000     232.429     120.481     356.569      61.910     243.736     277.196     221.689      43.746       0.000       0.000       0.088     581.152       0.000       0.000       0.000       0.000       0.000     356.569       0.000       0.000    1171.431       0.000       0.000
   365    12    31  2007       1       1  LLYFNI2             1972.953      24.120      23.979     297.960    1172.646    1470.606     122.778     388.521       0.000     190.083     113.200     297.510      63.458     277.196     269.607     232.353      46.709       0.000       0.000       0.039     541.805       0.000       0.000       0.000       0.000       0.000     297.510       0.000       0.000    1172.646       0.000       0.000
   366    12    31  2008       1       1  LLYFNI2             2377.347      28.575      28.454     467.351    1422.719    1890.071     135.670     397.305       0.000     188.308     108.739     466.505      65.372     269.607     233.952     240.755      48.594       0.000       0.000       0.060     524.690       0.000       0.000       0.000       0.000       0.000     466.505       0.000       0.000    1422.719       0.000       0.000
   365    12    31  2009       1       1  LLYFNI2             2077.599      36.850      34.378     350.466    1162.722    1513.188     120.559     423.456       0.000     204.719     113.358     350.674      63.179     233.952     249.273     231.719      47.099       0.000       0.000       0.158     558.217       0.000       0.000       0.000       0.000       0.000     350.674       0.000       0.000    1162.722       0.000       0.000
   365    12    31  2010       1       1  LLYFNI2             1687.192     104.948     106.421     213.937     942.294    1156.231     109.574     432.492       0.000     229.422     108.169     214.006      61.369     249.273     239.743     221.179      44.559       0.000       0.000       1.107     565.636       0.000       0.000       0.000       0.000       0.000     214.006       0.000       0.000     942.294       0.000       0.000
