 LLYFNI2                  
  SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                  
  
                                                                            --YIELD (kg/ha)--
  jday   mon   day    yr    unit PLANTNM                         MASS          C           N           P
   365    12    31  2010       1    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010       2    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010       3    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010       4    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010       5    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010       6    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010       7    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010       8    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010       9    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      10    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      11    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      12    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      13    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      14    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      15    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      16    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      17    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      18    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      19    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      20    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      21    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      22    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      23    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      24    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      25    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      26    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      27    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      28    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      29    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      30    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      31    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      32    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      33    rngb                        0.000       0.000       0.000       0.000
   365    12    31  2010      34    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      35    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      40    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      43    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      44    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      45    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      46    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      47    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      48    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      49    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      50    rnge                        0.000       0.000       0.000       0.000
   365    12    31  2010      51    rnge                        0.000       0.000       0.000       0.000
