 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                 sedyld     sedorgn     sedorgp     surqno3     lat3no3    surqsolp        usle      sedmin     tileno3
                                                                  tha        kgha        kgha        kgha        kgha        kgha        tons        ----        ----
    365    12    31  2001      1       0  rtu0010                0.064       0.195       0.025       0.138       0.000       0.043       0.000       0.002       0.000
    365    12    31  2001      2       0  rtu0020                0.070       0.207       0.027       0.112       0.000       0.035       0.000       0.002       0.000
    365    12    31  2001      3       0  rtu0030                0.045       0.127       0.016       0.039       0.000       0.015       0.000       0.001       0.000
    365    12    31  2001      4       0  rtu0040                0.049       0.131       0.017       0.039       0.000       0.014       0.000       0.001       0.000
    365    12    31  2001      5       0  rtu0050                0.055       0.149       0.019       0.058       0.000       0.021       0.000       0.001       0.000
    365    12    31  2001      6       0  rtu0060                0.104       0.290       0.038       0.113       0.000       0.034       0.000       0.002       0.000
    365    12    31  2001      7       0  rtu0070                0.064       0.180       0.023       0.130       0.000       0.040       0.000       0.001       0.000
    365    12    31  2001      8       0  rtu0080                0.045       0.121       0.015       0.040       0.000       0.015       0.000       0.001       0.000
    365    12    31  2001      9       0  rtu0090                0.044       0.123       0.016       0.101       0.000       0.031       0.000       0.001       0.000
    365    12    31  2001     10       0  rtu0100                0.032       0.092       0.012       0.152       0.000       0.045       0.000       0.001       0.000
    365    12    31  2001     11       0  rtu0110                0.101       0.283       0.037       0.155       0.000       0.044       0.000       0.002       0.000
    365    12    31  2001     12       0  rtu0120                0.023       0.067       0.009       0.084       0.000       0.024       0.000       0.001       0.000
    365    12    31  2001     13       0  rtu0130                0.015       0.052       0.007       0.217       0.000       0.058       0.000       0.000       0.000
    365    12    31  2001     14       0  rtu0140                0.005       0.021       0.003       0.231       0.000       0.063       0.000       0.000       0.000
    365    12    31  2001     15       0  rtu0150                0.061       0.179       0.023       0.197       0.000       0.054       0.000       0.002       0.000
    365    12    31  2001     16       0  rtu0160                0.045       0.133       0.017       0.139       0.000       0.038       0.000       0.001       0.000
    365    12    31  2001     17       0  rtu0170                0.011       0.035       0.005       0.186       0.000       0.053       0.000       0.000       0.000
    365    12    31  2001     18       0  rtu0180                0.050       0.146       0.019       0.166       0.000       0.046       0.000       0.001       0.000
    365    12    31  2001     19       0  rtu0190                0.028       0.118       0.013       0.135       0.000       0.032       0.000       0.001       0.000
    365    12    31  2001     20       0  rtu0200                5.675       1.080       0.093       3.164       0.000       0.048       0.000       0.029       0.000
    365    12    31  2001     21       0  rtu0210                0.010       0.112       0.009       0.401       0.000       0.061       0.000       0.000       0.000
    365    12    31  2001     22       0  rtu0220               13.506       1.452       0.126       6.209       0.000       0.041       0.000       0.032       0.000
    365    12    31  2001     23       0  rtu0230               16.050       2.662       0.182      16.237       0.000       0.030       0.000       0.020       0.000
    365    12    31  2001     24       0  rtu0240                0.445       1.131       0.105      14.763       0.000       0.074       0.000       0.013       0.000
    365    12    31  2001     25       0  rtu0250                0.003       0.019       0.002       1.188       0.000       0.160       0.000       0.000       0.000
    365    12    31  2001     26       0  rtu0260                0.004       0.046       0.004       1.190       0.000       0.160       0.000       0.000       0.000
    365    12    31  2001     27       0  rtu0270                0.001       0.005       0.000       1.186       0.000       0.161       0.000       0.000       0.000
    365    12    31  2001     28       0  rtu0280                0.001       0.005       0.000       1.186       0.000       0.161       0.000       0.000       0.000
    365    12    31  2001     29       0  rtu0290                0.013       0.190       0.016       1.206       0.000       0.144       0.000       0.000       0.000
    365    12    31  2001     30       0  rtu0300                0.014       0.144       0.012       1.150       0.000       0.154       0.000       0.000       0.000
    365    12    31  2001     31       0  rtu0310                0.008       0.092       0.005       1.021       0.000       0.045       0.000       0.000       0.000
    365    12    31  2001     32       0  rtu0320                0.282       3.950       0.241       2.323       0.000       0.052       0.000       0.011       0.000
    365    12    31  2001     33       0  rtu0330                0.085       0.235       0.032       0.082       0.000       0.029       0.000       0.002       0.000
    365    12    31  2001     34       0  rtu0340                0.074       0.207       0.028       0.065       0.000       0.026       0.000       0.002       0.000
    365    12    31  2001     35       0  rtu0350                0.141       1.966       0.120       1.134       0.000       0.031       0.000       0.006       0.000
