 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id     name         grzn        grzp        lab_min_p        act_sta_p            fertn            fertp             fixn            denit        act_nit_n        act_sta_n        org_lab_p     rsd_nitorg_n     rsd_laborg_p          no3atmo          nh4atmo
                                                          kgha        kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha             kgha
   365    12    31  2001       1       0  rtu0010                0.000       0.000       6.705       3.819       0.000       0.000            0.000           23.207          183.975            2.383           14.544            0.327           34.275            0.000            0.000
   365    12    31  2001       2       0  rtu0020                0.000       0.000       6.298       3.719       0.000       0.000            0.000           19.470          179.493            2.402           14.191            0.328           34.618            0.000            0.000
   365    12    31  2001       3       0  rtu0030                0.000       0.000       5.686       3.472       0.000       0.000            0.000            9.534          169.311            2.444           13.389            0.334           35.576            0.000            0.000
   365    12    31  2001       4       0  rtu0040                0.000       0.000       5.734       3.430       0.000       0.000            0.000           11.042          167.049            2.443           13.206            0.283           35.096            0.000            0.000
   365    12    31  2001       5       0  rtu0050                0.000       0.000       6.046       3.497       0.000       0.000            0.000           13.896          171.477            2.425           13.553            0.269           34.629            0.000            0.000
   365    12    31  2001       6       0  rtu0060                0.000       0.000       6.445       3.688       0.000       0.000            0.000           20.622          179.471            2.394           14.182            0.256           33.876            0.000            0.000
   365    12    31  2001       7       0  rtu0070                0.000       0.000       6.776       3.764       0.000       0.000            0.000           24.013          184.000            2.374           14.538            0.255           33.571            0.000            0.000
   365    12    31  2001       8       0  rtu0080                0.000       0.000       6.334       3.436       0.000       0.000            0.000           12.063          168.821            2.436           13.344            0.282           35.153            0.000            0.000
   365    12    31  2001       9       0  rtu0090                0.000       0.000       6.281       3.621       0.000       0.000            0.000           19.037          176.187            2.407           13.924            0.282           34.372            0.000            0.000
   365    12    31  2001      10       0  rtu0100                0.000       0.000       6.739       3.772       0.000       0.000            0.000           25.407          184.086            2.377           14.546            0.273           33.583            0.000            0.000
   365    12    31  2001      11       0  rtu0110                0.000       0.000       6.520       3.786       0.000       0.000            0.000           25.267          184.103            2.376           14.547            0.264           33.500            0.000            0.000
   365    12    31  2001      12       0  rtu0120                0.000       0.000       6.231       3.535       0.000       0.000            0.000           16.042          172.022            2.426           13.598            0.286           34.517            0.000            0.000
   365    12    31  2001      13       0  rtu0130                0.000       0.000       6.840       3.912       0.000       0.000            0.000           32.029          190.258            2.354           15.033            0.290           33.054            0.000            0.000
   365    12    31  2001      14       0  rtu0140                0.000       0.000       6.873       3.926       0.000       0.000            0.000           33.286          191.008            2.352           15.092            0.297           33.034            0.000            0.000
   365    12    31  2001      15       0  rtu0150                0.000       0.000       6.784       3.889       0.000       0.000            0.000           30.211          189.204            2.357           14.949            0.276           33.121            0.000            0.000
