 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
   jday   mon   day    yr   unit  gis_id  name                     lai       bioms       yield     residue     sol_tmp       strsw       strsa     strstmp       strsn       strsp        nplt       percn       pplnt         tmx         tmn       tmpav     solarad      wndspd        rhum     phubas0
                                                             m**2/m**2        kgha        kgha        kgha        degc         ---         ---         ---         ---         ---        kgha        kgha        kgha        degc        degc        degc      mj/m^2         m/s        frac        degc
    365    12    31  2001      1       0  rtu0010                3.951   22417.572       0.000     356.217       9.079       0.000     169.894     251.607     148.061       0.361       0.186      39.978       0.000      12.235       6.498       9.367      10.025       0.000       0.000       0.433
    365    12    31  2001      2       0  rtu0020                3.951   22658.055       0.000     362.664       9.024       0.000     151.557     251.609     147.734       0.583       0.188      33.319       0.000      12.235       6.498       9.367      10.025       0.000       0.000       0.433
    365    12    31  2001      3       0  rtu0030                3.951   23245.258       0.000     379.073       8.913       0.000     107.853     251.607     146.570       1.151       0.193      15.784       0.000      12.235       6.498       9.367      10.025       0.000       0.000       0.433
    365    12    31  2001      4       0  rtu0040                3.951   23247.604       0.000     372.458       8.951       0.962     117.101     247.055     146.089       0.990       0.183      17.358       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001      5       0  rtu0050                3.951   23111.314       0.000     366.089       9.019       0.812     130.772     247.055     146.000       0.840       0.183      22.815       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001      6       0  rtu0060                3.951   22718.971       0.000     355.093       9.111       0.000     159.109     247.055     146.549       0.411       0.181      35.584       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001      7       0  rtu0070                3.951   22560.178       0.000     349.885       9.193       0.000     176.410     247.055     146.791       0.218       0.180      40.859       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001      8       0  rtu0080                3.951   23156.529       0.000     372.201       8.976       0.000     124.735     247.055     146.319       0.964       0.181      18.526       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001      9       0  rtu0090                3.951   22846.127       0.000     360.503       9.069       0.275     149.187     247.053     146.445       0.581       0.181      31.663       0.000      12.380       6.643       9.511      10.025       0.000       0.000       0.440
    365    12    31  2001     10       0  rtu0100                3.951   22520.680       0.000     348.529       9.172       0.000     175.227     247.055     146.694       0.264       0.180      43.442       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     11       0  rtu0110                3.951   22534.535       0.000     348.550       9.166       0.165     173.998     247.055     146.595       0.233       0.181      44.259       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     12       0  rtu0120                3.951   22985.646       0.000     363.474       8.992       0.000     132.662     247.058     146.234       0.811       0.182      26.357       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     13       0  rtu0130                3.951   22252.342       0.000     340.054       9.230       0.000     192.588     247.055     146.679       0.028       0.181      56.007       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     14       0  rtu0140                3.951   22215.430       0.000     338.250       9.233       0.000     195.458     247.055     146.666       0.028       0.182      58.188       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     15       0  rtu0150                3.951   22317.301       0.000     341.751       9.225       0.000     190.171     247.055     146.698       0.041       0.181      53.128       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     16       0  rtu0160                3.951   22775.098       0.000     354.466       9.096       0.657     153.418     247.055     145.942       0.550       0.184      38.780       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     17       0  rtu0170                3.951   22557.406       0.000     347.517       9.152       0.423     168.694     247.058     146.060       0.410       0.184      47.742       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     18       0  rtu0180                3.951   22524.109       0.000     348.048       9.156       0.271     172.785     247.055     146.523       0.272       0.182      45.452       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
    365    12    31  2001     19       0  rtu0190                3.951   23988.254       0.000     374.356       9.102       0.494     131.684     247.055     117.481       1.461       0.342      45.626       0.000      12.380       6.643       9.512      10.025       0.000       0.000       0.440
