 LLYFNI2                   SWAT+ Dec 8  2020    MODULAR Rev 2020.60.5.1                                   
  jday   mon   day    yr    unit  gis_id  name                  precip     snofall      snomlt    surq_gen        latq    wateryld        perc          et       tloss      eplant       esoil   surq_cont          cn     sw_init    sw_final      sw_ave      sw_300    sno_init   sno_final     snopack         pet       qtile         irr  surq_runon  latq_runon    overbank    surq_cha    surq_res     surq_ls    latq_cha    latq_res     latq_ls
                                                                  mm            mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm         ---          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm          mm
    365    12    31  2001      1       0  rtu0010             1196.200       1.434      10.160     263.376     178.760     442.136     141.889     640.867       0.000     426.100      39.304     261.916      78.393     308.065     290.604     234.385      51.368       8.726       0.000       0.000     607.825       0.000       0.000       0.000       0.000       0.000     261.916       0.000       0.000     178.760       0.000       0.000
    365    12    31  2001      2       0  rtu0020             1196.212       1.434      10.161     216.315     246.634     462.949     124.329     640.012       0.000     426.146      38.415     215.027      74.919     292.675     273.034     218.235      47.357       8.727       0.000       0.000     607.860       0.000       0.000       0.000       0.000       0.000     215.027       0.000       0.000     246.634       0.000       0.000
    365    12    31  2001      3       0  rtu0030             1196.200       1.434      10.164      91.488     423.079     514.567      81.650     638.655       0.000     426.236      37.001      91.355      66.726     257.874     230.415     179.565      37.436       8.730       0.000       0.000     607.921       0.000       0.000       0.000       0.000       0.000      91.355       0.000       0.000     423.079       0.000       0.000
    365    12    31  2001      4       0  rtu0040             1150.400       1.234       1.234      76.886     382.725     459.611      87.908     641.216       0.000     425.951      37.306      76.738      68.255     275.042     239.056     181.318      37.679       0.000       0.000       0.000     610.469       0.000       0.000       0.000       0.000       0.000      76.738       0.000       0.000     382.725       0.000       0.000
    365    12    31  2001      5       0  rtu0050             1150.400       1.234       1.234     112.499     328.182     440.682     102.583     641.770       0.000     425.982      37.839     112.159      71.149     286.431     253.724     195.343      41.107       0.000       0.000       0.000     610.489       0.000       0.000       0.000       0.000       0.000     112.159       0.000       0.000     328.182       0.000       0.000
    365    12    31  2001      6       0  rtu0060             1150.400       1.234       1.234     191.836     207.907     399.743     132.242     644.841       0.000     427.666      39.237     190.759      76.425     307.007     282.518     221.758      47.742       0.000       0.000       0.000     610.513       0.000       0.000       0.000       0.000       0.000     190.759       0.000       0.000     207.907       0.000       0.000
    365    12    31  2001      7       0  rtu0070             1150.400       1.234       1.234     225.978     154.676     380.654     148.650     645.056       0.000     427.634      39.473     223.745      79.982     321.371     299.760     237.602      51.391       0.000       0.000       0.000     610.490       0.000       0.000       0.000       0.000       0.000     223.745       0.000       0.000     154.676       0.000       0.000
    365    12    31  2001      8       0  rtu0080             1150.400       1.234       1.234      80.850     371.660     452.510      93.251     642.921       0.000     427.667      37.317      80.613      69.540     280.976     245.060     186.016      38.530       0.000       0.000       0.000     610.513       0.000       0.000       0.000       0.000       0.000      80.613       0.000       0.000     371.660       0.000       0.000
    365    12    31  2001      9       0  rtu0090             1150.388       1.234       1.234     169.261     247.647     416.908     121.356     643.828       0.000     427.380      38.523     165.338      74.527     298.897     272.354     212.233      45.489       0.000       0.000       0.000     610.529       0.000       0.000       0.000       0.000       0.000     165.338       0.000       0.000     247.647       0.000       0.000
    365    12    31  2001     10       0  rtu0100             1150.400       1.234       1.234     247.077     136.536     383.613     148.955     645.100       0.000     427.683      39.485     239.043      79.670     318.333     299.416     237.980      51.998       0.000       0.000       0.000     610.524       0.000       0.000       0.000       0.000       0.000     239.043       0.000       0.000     136.536       0.000       0.000
    365    12    31  2001     11       0  rtu0110             1150.400       1.234       1.234     250.630     126.875     377.505     149.845     645.148       0.000     427.441      39.780     246.844      79.519     317.620     299.633     238.383      52.274       0.000       0.000       0.000     610.533       0.000       0.000       0.000       0.000       0.000     246.844       0.000       0.000     126.875       0.000       0.000
    365    12    31  2001     12       0  rtu0120             1150.411       1.234       1.234     134.471     301.124     435.595     105.367     643.792       0.000     427.723      38.147     131.628      71.147     285.296     255.774     196.945      41.915       0.000       0.000       0.000     610.555       0.000       0.000       0.000       0.000       0.000     131.628       0.000       0.000     301.124       0.000       0.000
    365    12    31  2001     13       0  rtu0130             1150.400       1.234       1.234     328.504      20.469     348.973     172.270     646.055       0.000     427.689      40.436     320.469      83.392     330.307     321.220     259.553      58.113       0.000       0.000       0.000     610.529       0.000       0.000       0.000       0.000       0.000     320.469       0.000       0.000      20.469       0.000       0.000
    365    12    31  2001     14       0  rtu0140             1150.400       1.234       1.234     349.764       2.422     352.186     174.878     646.093       0.000     427.689      40.474     333.958      83.830     331.144     323.957     262.278      59.025       0.000       0.000       0.000     610.529       0.000       0.000       0.000       0.000       0.000     333.958       0.000       0.000       2.422       0.000       0.000
    365    12    31  2001     15       0  rtu0150             1150.400       1.234       1.234     308.912      45.127     354.039     168.074     645.995       0.000     427.697      40.371     302.602      82.786     329.015     317.433     255.597      56.889       0.000       0.000       0.000     610.534       0.000       0.000       0.000       0.000       0.000     302.602       0.000       0.000      45.127       0.000       0.000
